Show_ID,Type,Title,Director,Actor1,Actor2,Actor3,Actor4,Actor5,Country1,Country2,Country3,Date_Added,Release_Year,Rating,Duration,Gener1,Gener2,Gener3,Description,Year
s12,TV Show,Bangkok Breaking,Kongkiat Komesiri,Sukollawat Kanarot,Sushar Manaying,Pavarit Mongkolpisit,Sahajak Boonthanakit,Suthipongse Thatphithakkul,Unknown,Unknown,Unknown,23-09-2021,2021,TV-MA,1 Season,Crime TV Shows,International TV Shows,TV Action & Adventure,"Struggling to earn a living in Bangkok, a man joins an emergency rescue service and realizes he must unravel a citywide conspiracy.",2021
s13,Movie,Je Suis Karl,Christian Schwochow,Luna Wedler,Jannis Niewöhner,Milan Peschel,Edin Hasanović,Anna Fialová,Germany,Czech Republic,Unknown,23-09-2021,2021,TV-MA,127 min,Dramas,International Movies,Unknown,"After most of her family is murdered in a terrorist bombing, a young woman is unknowingly lured into joining the very group that killed them.",2021
s14,Movie,Confessions of an Invisible Girl,Bruno Garotti,Klara Castanho,Lucca Picon,Júlia Gomes,Marcus Bessa,Kiria Malheiros,Unknown,Unknown,Unknown,22-09-2021,2021,TV-PG,91 min,Children & Family Movies,Comedies,Unknown,"When the clever but socially-awkward Tetê joins a new school, she'll do anything to fit in. But the queen bee among her classmates has other ideas.",2021
s15,TV Show,Crime Stories: India Detectives,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,22-09-2021,2021,TV-MA,1 Season,British TV Shows,Crime TV Shows,Docuseries,Cameras following Bengaluru police on the job offer a rare glimpse into the complex and challenging inner workings of four major crime investigations.,2021
s16,TV Show,Dear White People,Unknown,Logan Browning,Brandon P. Bell,DeRon Horton,Antoinette Robertson,John Patrick Amedori,United States,Unknown,Unknown,22-09-2021,2021,TV-MA,4 Seasons,TV Comedies,TV Dramas,Unknown,"Students of color navigate the daily slights and slippery politics of life at an Ivy League college that's not nearly as ""post-racial"" as it thinks.",2021
s17,Movie,Europe's Most Dangerous Man: Otto Skorzeny in Spain,"Pedro de Echave García, Pablo Azorín Williams",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,22-09-2021,2020,TV-MA,67 min,Documentaries,International Movies,Unknown,"Declassified documents reveal the post-WWII life of Otto Skorzeny, a close Hitler ally who escaped to Spain and became an adviser to world presidents.",2021
s18,TV Show,Falsa identidad,Unknown,Luis Ernesto Franco,Camila Sodi,Sergio Goyri,Samadhi Zendejas,Eduardo Yáñez,Mexico,Unknown,Unknown,22-09-2021,2020,TV-MA,2 Seasons,Crime TV Shows,Spanish-Language TV Shows,TV Dramas,Strangers Diego and Isabel flee their home in Mexico and pretend to be a married couple to escape his drug-dealing enemies and her abusive husband.,2021
s19,Movie,Intrusion,Adam Salky,Freida Pinto,Logan Marshall-Green,Robert John Burke,Megan Elisabeth Kelly,Sarah Minnich,Unknown,Unknown,Unknown,22-09-2021,2021,TV-14,94 min,Thrillers,Unknown,Unknown,"After a deadly home invasion at a couple’s new dream house, the traumatized wife searches for answers — and learns the real danger is just beginning.",2021
s20,TV Show,Jaguar,Unknown,Blanca Suárez,Iván Marcos,Óscar Casas,Adrián Lastra,Francesc Garrido,Unknown,Unknown,Unknown,22-09-2021,2021,TV-MA,1 Season,International TV Shows,Spanish-Language TV Shows,TV Action & Adventure,"In the 1960s, a Holocaust survivor joins a group of self-trained spies who seek justice against Nazis fleeing to Spain to hide after WWII.",2021
s21,TV Show,Monsters Inside: The 24 Faces of Billy Milligan,Olivier Megaton,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,22-09-2021,2021,TV-14,1 Season,Crime TV Shows,Docuseries,International TV Shows,"In the late 1970s, an accused serial rapist claims multiple personalities control his behavior, setting off a legal odyssey that captivates America.",2021
s22,TV Show,Resurrection: Ertugrul,Unknown,Engin Altan Düzyatan,Serdar Gökhan,Hülya Darcan,Kaan Taşaner,Esra Bilgiç,Turkey,Unknown,Unknown,22-09-2021,2018,TV-14,5 Seasons,International TV Shows,TV Action & Adventure,TV Dramas,"When a good deed unwittingly endangers his clan, a 13th-century Turkish warrior agrees to fight a sultan's enemies in exchange for new tribal land.",2021
s23,Movie,Avvai Shanmughi,K.S. Ravikumar,Kamal Hassan,Meena,Gemini Ganesan,Heera Rajgopal,Nassar,Unknown,Unknown,Unknown,21-09-2021,1996,TV-PG,161 min,Comedies,International Movies,Unknown,"Newly divorced and denied visitation rights with his daughter, a doting father disguises himself as a gray-haired nanny in order to spend time with her.",2021
s24,Movie,Go! Go! Cory Carson: Chrissy Takes the Wheel,"Alex Woo, Stanley Moore",Maisie Benson,Paul Killam,Kerry Gudjohnsen,AC Lim,Unknown,Unknown,Unknown,Unknown,21-09-2021,2021,TV-Y,61 min,Children & Family Movies,Unknown,Unknown,"From arcade games to sled days and hiccup cures, Cory Carson’s curious little sister Chrissy speeds off on her own for fun and adventure all over town!",2021
s25,Movie,Jeans,S. Shankar,Prashanth,Aishwarya Rai Bachchan,Sri Lakshmi,Nassar,Unknown,India,Unknown,Unknown,21-09-2021,1998,TV-14,166 min,Comedies,International Movies,Romantic Movies,"When the father of the man she loves insists that his twin sons marry twin sisters, a woman creates an alter ego that might be a bit too convincing.",2021
s26,TV Show,Love on the Spectrum,Unknown,Brooke Satchwell,Unknown,Unknown,Unknown,Unknown,Australia,Unknown,Unknown,21-09-2021,2021,TV-14,2 Seasons,Docuseries,International TV Shows,Reality TV,"Finding love can be hard for anyone. For young adults on the autism spectrum, exploring the unpredictable world of dating is even more complicated.",2021
s27,Movie,Minsara Kanavu,Rajiv Menon,Arvind Swamy,Kajol,Prabhu Deva,Nassar,S.P. Balasubrahmanyam,Unknown,Unknown,Unknown,21-09-2021,1997,TV-PG,147 min,Comedies,International Movies,Music & Musicals,A tangled love triangle ensues when a man falls for a woman studying to become a nun — and she falls for the friend he enlists to help him pursue her.,2021
s28,Movie,Grown Ups,Dennis Dugan,Adam Sandler,Kevin James,Chris Rock,David Spade,Rob Schneider,United States,Unknown,Unknown,20-09-2021,2010,PG-13,103 min,Comedies,Unknown,Unknown,"Mourning the loss of their beloved junior high basketball coach, five middle-aged pals reunite at a lake house and rediscover the joys of being a kid.",2021
s29,Movie,Dark Skies,Scott Stewart,Keri Russell,Josh Hamilton,J.K. Simmons,Dakota Goyo,Kadan Rockett,United States,Unknown,Unknown,19-09-2021,2013,PG-13,97 min,Horror Movies,Sci-Fi & Fantasy,Unknown,"A family’s idyllic suburban life shatters when an alien force invades their home, and as they struggle to convince others of the deadly threat.",2021
s30,Movie,Paranoia,Robert Luketic,Liam Hemsworth,Gary Oldman,Amber Heard,Harrison Ford,Lucas Till,United States,India,France,19-09-2021,2013,PG-13,106 min,Thrillers,Unknown,Unknown,"Blackmailed by his company's CEO, a low-level employee finds himself forced to spy on the boss's rival and former mentor.",2021
s31,Movie,Ankahi Kahaniya,"Ashwiny Iyer Tiwari, Abhishek Chaubey, Saket Chaudhary",Abhishek Banerjee,Rinku Rajguru,Delzad Hiwale,Kunal Kapoor,Zoya Hussain,Unknown,Unknown,Unknown,17-09-2021,2021,TV-14,111 min,Dramas,Independent Movies,International Movies,"As big city life buzzes around them, lonely souls discover surprising sources of connection and companionship in three tales of love, loss and longing.",2021
s32,TV Show,Chicago Party Aunt,Unknown,Lauren Ash,Rory O'Malley,RuPaul Charles,Jill Talley,Ike Barinholtz,Unknown,Unknown,Unknown,17-09-2021,2021,TV-MA,1 Season,TV Comedies,Unknown,Unknown,Chicago Party Aunt Diane is an idolized troublemaker with a talent for avoiding adulthood — and a soft spot for her soul-searching nephew.,2021
s33,TV Show,Sex Education,Unknown,Asa Butterfield,Gillian Anderson,Ncuti Gatwa,Emma Mackey,Connor Swindells,United Kingdom,Unknown,Unknown,17-09-2021,2020,TV-MA,3 Seasons,British TV Shows,International TV Shows,TV Comedies,"Insecure Otis has all the answers when it comes to sex advice, thanks to his therapist mom. So rebel Maeve proposes a school sex-therapy clinic.",2021
s34,TV Show,Squid Game,Unknown,Lee Jung-jae,Park Hae-soo,Wi Ha-jun,Oh Young-soo,Jung Ho-yeon,Unknown,Unknown,Unknown,17-09-2021,2021,TV-MA,1 Season,International TV Shows,TV Dramas,TV Thrillers,"Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside, a tempting prize awaits — with deadly high stakes.",2021
s35,TV Show,Tayo and Little Wizards,Unknown,Dami Lee,Jason Lee,Bommie Catherine Han,Jennifer Waescher,Nancy Kim,Unknown,Unknown,Unknown,17-09-2021,2020,TV-Y7,1 Season,Kids' TV,Unknown,Unknown,Tayo speeds into an adventure when his friends get kidnapped by evil magicians invading their city in search of a magical gemstone.,2021
s36,Movie,The Father Who Moves Mountains,Daniel Sandu,Adrian Titieni,Elena Purea,Judith State,Valeriu Andriuță,Tudor Smoleanu,Unknown,Unknown,Unknown,17-09-2021,2021,TV-MA,110 min,Dramas,International Movies,Thrillers,"When his son goes missing during a snowy hike in the mountains, a retired intelligence officer will stop at nothing — and risk everything — to find him.",2021
s37,Movie,The Stronghold,Cédric Jimenez,Gilles Lellouche,Karim Leklou,François Civil,Adèle Exarchopoulos,Kenza Fortas,Unknown,Unknown,Unknown,17-09-2021,2021,TV-MA,105 min,Action & Adventure,Dramas,International Movies,"Tired of the small-time grind, three Marseille cops get a chance to bust a major drug network. But lines blur when a key informant makes a big ask.",2021
s38,TV Show,Angry Birds,Unknown,Antti Pääkkönen,Heljä Heikkinen,Lynne Guaglione,Pasi Ruohonen,Rauno Ahonen,Finland,Unknown,Unknown,16-09-2021,2018,TV-Y7,1 Season,Kids' TV,TV Comedies,Unknown,"Birds Red, Chuck and their feathered friends have lots of adventures while guarding eggs in their nest that pesky pigs keep trying to steal.",2021
s39,Movie,Birth of the Dragon,George Nolfi,Billy Magnussen,Ron Yuan,Qu Jingjing,Terry Chen,Vanness Wu,China,Canada,United States,16-09-2021,2017,PG-13,96 min,Action & Adventure,Dramas,Unknown,"A young Bruce Lee angers kung fu traditionalists by teaching outsiders, leading to a showdown with a Shaolin master in this film based on real events.",2021
s40,TV Show,Chhota Bheem,Unknown,Vatsal Dubey,Julie Tejwani,Rupa Bhimani,Jigna Bhardwaj,Rajesh Kava,India,Unknown,Unknown,16-09-2021,2021,TV-Y7,3 Seasons,Kids' TV,Unknown,Unknown,"A brave, energetic little boy with superhuman powers leads his friends on exciting adventures to guard their fellow Dholakpur villagers from evil.",2021
s41,TV Show,He-Man and the Masters of the Universe,Unknown,Yuri Lowenthal,Kimberly Brooks,Antony Del Rio,Trevor Devall,Ben Diskin,United States,Unknown,Unknown,16-09-2021,2021,TV-Y7,1 Season,Kids' TV,TV Sci-Fi & Fantasy,Unknown,Mighty teen Adam and his heroic squad of misfits discover the legendary power of Grayskull — and their destiny to defend Eternia from sinister Skeletor.,2021
s42,Movie,Jaws,Steven Spielberg,Roy Scheider,Robert Shaw,Richard Dreyfuss,Lorraine Gary,Murray Hamilton,United States,Unknown,Unknown,16-09-2021,1975,PG,124 min,Action & Adventure,Classic Movies,Dramas,"When an insatiable great white shark terrorizes Amity Island, a police chief, an oceanographer and a grizzled shark hunter seek to destroy the beast.",2021
s43,Movie,Jaws 2,Jeannot Szwarc,Roy Scheider,Lorraine Gary,Murray Hamilton,Joseph Mascolo,Jeffrey Kramer,United States,Unknown,Unknown,16-09-2021,1978,PG,116 min,Dramas,Horror Movies,Thrillers,"Four years after the last deadly shark attacks, police chief Martin Brody fights to protect Amity Island from another killer great white.",2021
s44,Movie,Jaws 3,Joe Alves,Dennis Quaid,Bess Armstrong,Simon MacCorkindale,Louis Gossett Jr.,John Putch,United States,Unknown,Unknown,16-09-2021,1983,PG,98 min,Action & Adventure,Horror Movies,Thrillers,"After the staff of a marine theme park try to capture a young great white shark, they discover its mother has invaded the enclosure and is out for blood.",2021
s45,Movie,Jaws: The Revenge,Joseph Sargent,Lorraine Gary,Lance Guest,Mario Van Peebles,Karen Young,Michael Caine,United States,Unknown,Unknown,16-09-2021,1987,PG-13,91 min,Action & Adventure,Horror Movies,Thrillers,"After another deadly shark attack, Ellen Brody has had enough of Amity Island and moves to the Caribbean – but a great white shark follows her there.",2021
s46,Movie,My Heroes Were Cowboys,Tyler Greco,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,16-09-2021,2021,PG,23 min,Documentaries,Unknown,Unknown,"Robin Wiltshire's painful childhood was rescued by Westerns. Now he lives on the frontier of his dreams, training the horses he loves for the big screen.",2021
s47,Movie,Safe House,Daniel Espinosa,Denzel Washington,Ryan Reynolds,Vera Farmiga,Brendan Gleeson,Sam Shepard,South Africa,United States,Japan,16-09-2021,2012,R,115 min,Action & Adventure,Unknown,Unknown,Young CIA operative Matt Weston must get a dangerous criminal out of an agency safe house that's come under attack and get him to a securer location.,2021
s48,TV Show,The Smart Money Woman,Bunmi Ajakaiye,Osas Ighodaro,Ini Dima-Okojie,Kemi Lala Akindoju,Toni Tones,Ebenezer Eno,Unknown,Unknown,Unknown,16-09-2021,2020,TV-MA,1 Season,International TV Shows,Romantic TV Shows,TV Comedies,"Five glamorous millennials strive for success as they juggle careers, finances, love and friendships. Based on Arese Ugwu's 2016 best-selling novel.",2021
s49,Movie,Training Day,Antoine Fuqua,Denzel Washington,Ethan Hawke,Scott Glenn,Tom Berenger,Harris Yulin,United States,Unknown,Unknown,16-09-2021,2001,R,122 min,Dramas,Thrillers,Unknown,A rookie cop with one day to prove himself to a veteran LAPD narcotics officer receives a crash course in his mentor's questionable brand of justice.,2021
s50,TV Show,Castle and Castle,Unknown,Richard Mofe-Damijo,Dakore Akande,Bimbo Manuel,Blossom Chukwujekwu,Deyemi Okanlawon,Nigeria,Unknown,Unknown,15-09-2021,2021,TV-MA,2 Seasons,International TV Shows,TV Dramas,Unknown,"A pair of high-powered, successful lawyers find themselves defending opposite interests of the justice system, causing a strain on their happy marriage.",2021
s51,TV Show,Dharmakshetra,Unknown,Kashmira Irani,Chandan Anand,Dinesh Mehta,Ankit Arora,Pushkar Goggiaa,India,Unknown,Unknown,15-09-2021,2014,TV-PG,1 Season,International TV Shows,TV Dramas,TV Sci-Fi & Fantasy,"After the ancient Great War, the god Chitragupta oversees a trial to determine who were the battle's true heroes and villains.",2021
s52,Movie,InuYasha the Movie 2: The Castle Beyond the Looking Glass,Toshiya Shinohara,Kappei Yamaguchi,Satsuki Yukino,Mieko Harada,Koji Tsujitani,Houko Kuwashima,Japan,Unknown,Unknown,15-09-2021,2002,TV-14,99 min,Action & Adventure,Anime Features,International Movies,"With their biggest foe seemingly defeated, InuYasha and his friends return to everyday life. But the peace is soon shattered by an emerging new enemy.",2021
s53,Movie,InuYasha the Movie 3: Swords of an Honorable Ruler,Toshiya Shinohara,Kappei Yamaguchi,Satsuki Yukino,Koji Tsujitani,Houko Kuwashima,Kumiko Watanabe,Japan,Unknown,Unknown,15-09-2021,2003,TV-14,99 min,Action & Adventure,Anime Features,International Movies,The Great Dog Demon beaqueathed one of the Three Swords of the Fang to each of his two sons. Now the evil power of the third sword has been awakened.,2021
s54,Movie,InuYasha the Movie 4: Fire on the Mystic Island,Toshiya Shinohara,Kappei Yamaguchi,Satsuki Yukino,Koji Tsujitani,Houko Kuwashima,Kumiko Watanabe,Japan,Unknown,Unknown,15-09-2021,2004,TV-PG,88 min,Action & Adventure,Anime Features,International Movies,"Ai, a young half-demon who has escaped from Horai Island to try to help her people, returns with potential saviors InuYasha, Sesshomaru and Kikyo.",2021
s55,Movie,InuYasha the Movie: Affections Touching Across Time,Toshiya Shinohara,Kappei Yamaguchi,Satsuki Yukino,Koji Tsujitani,Houko Kuwashima,Kumiko Watanabe,Japan,Unknown,Unknown,15-09-2021,2001,TV-PG,100 min,Action & Adventure,Anime Features,International Movies,"A powerful demon has been sealed away for 200 years. But when the demon's son is awakened, the fate of the world is in jeopardy.",2021
s56,TV Show,Nailed It,Unknown,Nicole Byer,Jacques Torres,Unknown,Unknown,Unknown,United States,Unknown,Unknown,15-09-2021,2021,TV-PG,6 Seasons,Reality TV,Unknown,Unknown,"Home bakers with a terrible track record take a crack at re-creating edible masterpieces for a $10,000 prize. It's part reality contest, part hot mess.",2021
s57,Movie,Naruto Shippuden the Movie: Blood Prison,Masahiko Murata,Junko Takeuchi,Chie Nakamura,Rikiya Koyama,Kazuhiko Inoue,Masaki Terasoma,Japan,Unknown,Unknown,15-09-2021,2011,TV-14,102 min,Action & Adventure,Anime Features,International Movies,"Mistakenly accused of an attack on the Fourth Raikage, ninja Naruto is imprisoned in the impenetrable Hozuki Castle and his powers are sealed.",2021
s58,Movie,Naruto Shippûden the Movie: Bonds,Hajime Kamegaki,Junko Takeuchi,Chie Nakamura,Noriaki Sugiyama,Unsho Ishizuka,Motoko Kumai,Japan,Unknown,Unknown,15-09-2021,2008,TV-PG,93 min,Action & Adventure,Anime Features,International Movies,"When strange ninjas ambush the village of Konohagakure, it's up to adolescent ninja Naruto and his long-missing pal, Sasuke, to save the planet.",2021
s59,Movie,Naruto Shippûden the Movie: The Will of Fire,Masahiko Murata,Junko Takeuchi,Chie Nakamura,Kazuhiko Inoue,Satoshi Hino,Showtaro Morikubo,Japan,Unknown,Unknown,15-09-2021,2009,TV-PG,96 min,Action & Adventure,Anime Features,International Movies,"When four out of five ninja villages are destroyed, the leader of the one spared tries to find the true culprit and protect his land.",2021
s60,Movie,Naruto Shippuden: The Movie,Hajime Kamegaki,Junko Takeuchi,Chie Nakamura,Yoichi Masukawa,Koichi Tochika,Ayumi Fujimura,Japan,Unknown,Unknown,15-09-2021,2007,TV-PG,95 min,Action & Adventure,Anime Features,International Movies,"The adventures of adolescent ninja Naruto Uzumaki continue as he's tasked with protecting a priestess from a demon – but to do so, he must die.",2021
s61,Movie,Naruto Shippuden: The Movie: The Lost Tower,Masahiko Murata,Junko Takeuchi,Chie Nakamura,Satoshi Hino,Rikiya Koyama,Nobuaki Fukuda,Japan,Unknown,Unknown,15-09-2021,2010,TV-14,85 min,Action & Adventure,Anime Features,International Movies,"When Naruto is sent to recover a missing nin, the rogue manages to send him 20 years into the past, where he unites with his father to battle evil.",2021
s62,Movie,Naruto the Movie 2: Legend of the Stone of Gelel,Hirotsugu Kawasaki,Junko Takeuchi,Gamon Kaai,Chie Nakamura,Showtaro Morikubo,Akira Ishida,Japan,Unknown,Unknown,15-09-2021,2005,TV-PG,97 min,Action & Adventure,Anime Features,International Movies,"While on a mission to return a missing pet, Naruto and two fellow ninjas are ambushed by brutal knights led by the enigmatic Temujin.",2021
s63,Movie,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,Toshiyuki Tsuru,Junko Takeuchi,Chie Nakamura,Yoichi Masukawa,Kazuhiko Inoue,Akio Otsuka,Japan,Unknown,Unknown,15-09-2021,2006,TV-PG,95 min,Action & Adventure,Anime Features,International Movies,"Exuberant ninja Naruto teams up with his pals Sakura and Kakashi to escort Prince Michiru and his son, Hikaru, to the Crescent Moon kingdom.",2021
s64,Movie,Naruto the Movie: Ninja Clash in the Land of Snow,Tensai Okamura,Junko Takeuchi,Noriaki Sugiyama,Chie Nakamura,Kazuhiko Inoue,Yuhko Kaida,Japan,Unknown,Unknown,15-09-2021,2004,TV-PG,83 min,Action & Adventure,Anime Features,International Movies,"Naruto, Sasuke and Sakura learn they'll be protecting an actress from being hurt while making her next film, but it turns out she's a princess.",2021
s65,Movie,Nightbooks,David Yarovesky,Winslow Fegley,Lidya Jewett,Krysten Ritter,Unknown,Unknown,Unknown,Unknown,Unknown,15-09-2021,2021,TV-PG,103 min,Children & Family Movies,Unknown,Unknown,Scary story fan Alex must tell a spine-tingling tale every night — or stay trapped with his new friend in a wicked witch's magical apartment forever.,2021
s66,TV Show,Numberblocks,Unknown,Beth Chalmers,David Holt,Marcel McCalla,Teresa Gallagher,Unknown,United Kingdom,Unknown,Unknown,15-09-2021,2021,TV-Y,6 Seasons,Kids' TV,Unknown,Unknown,"In a place called Numberland, math adds up to tons of fun when a group of cheerful blocks work, play and sing together.",2021
s67,TV Show,Raja Rasoi Aur Anya Kahaniyan,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,India,Unknown,Unknown,15-09-2021,2014,TV-G,1 Season,Docuseries,International TV Shows,Unknown,"Explore the history and flavors of regional Indian cuisine, from traditional Kashmiri feasts to the vegetarian dishes of Gujarat.",2021
s68,TV Show,Saved by the Bell,Unknown,Mark-Paul Gosselaar,Tiffani Thiessen,Mario Lopez,Lark Voorhies,Elizabeth Berkley,United States,Unknown,Unknown,15-09-2021,1994,TV-PG,9 Seasons,Kids' TV,TV Comedies,Unknown,"From middle school to college, best friends Zack, Kelly, Slater, Jessie, Screech and Lisa take on the highs and lows of life together in this hit series.",2021
s69,Movie,Schumacher,"Hanns-Bruno Kammertöns, Vanessa Nöcker, Michael Wech",Michael Schumacher,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,15-09-2021,2021,TV-14,113 min,Documentaries,International Movies,Sports Movies,"Through exclusive interviews and archival footage, this documentary traces an intimate portrait of seven-time Formula 1 champion Michael Schumacher.",2021
s70,TV Show,Stories by Rabindranath Tagore,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,India,Unknown,Unknown,15-09-2021,2015,TV-PG,1 Season,International TV Shows,TV Dramas,Unknown,The writings of Nobel Prize winner Rabindranath Tagore come to life in this collection of tales set in early-20th-century Bengal.,2021
s71,TV Show,Too Hot To Handle: Latino,Unknown,Itatí Cantoral,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,15-09-2021,2021,TV-MA,1 Season,International TV Shows,Reality TV,Romantic TV Shows,"On this reality show, singles from Latin America and Spain are challenged to give up sex. But here, abstinence comes with a silver lining: US$100,000.",2021
s72,Movie,A StoryBots Space Adventure,David A. Vargas,Evan Spiridellis,Erin Fitzgerald,Jeff Gill,Fred Tatasciore,Evan Michael Lee,Unknown,Unknown,Unknown,14-09-2021,2021,TV-Y,13 min,Children & Family Movies,Unknown,Unknown,Join the StoryBots and the space travelers of the historic Inspiration4 mission as they search for answers to kids' questions about space.,2021
s73,TV Show,Jack Whitehall: Travels with My Father,Unknown,Jack Whitehall,Michael Whitehall,Unknown,Unknown,Unknown,United Kingdom,Unknown,Unknown,14-09-2021,2021,TV-MA,5 Seasons,British TV Shows,Docuseries,International TV Shows,"Jovial comic Jack Whitehall invites his stuffy father, Michael, to travel with him through Southeast Asia in an attempt to strengthen their bond.",2021
s74,Movie,King of Boys,Kemi Adetiba,Sola Sobowale,Adesua Etomi,Remilekun Reminisce Safaru,Tobechukwu iLLbliss Ejiofor,Toni Tones,Nigeria,Unknown,Unknown,14-09-2021,2018,TV-MA,182 min,Dramas,International Movies,Unknown,"When a powerful businesswoman’s political ambitions are threatened by her underworld connections, the ensuing power struggle could cost her everything.",2021
s75,TV Show,The World's Most Amazing Vacation Rentals,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,14-09-2021,2021,TV-PG,2 Seasons,Reality TV,Unknown,Unknown,"With an eye for every budget, three travelers visit vacation rentals around the globe and share their expert tips and tricks in this reality series.",2021
s76,Movie,You vs. Wild: Out Cold,Ben Simms,Bear Grylls,Jason Derek Prempeh,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,14-09-2021,2021,TV-G,106 min,Children & Family Movies,Unknown,Unknown,"After a plane crash leaves Bear with amnesia, he must make choices to save the missing pilot and survive in this high-stakes interactive adventure.",2021
